,model_name,case,preprocessing,accuracy,adjusted_balanced_accuracy,f1,geometric_mean,roc_auc,fit_time,predict_time
393,LogReg_auroc,ternary,LDA,0.5260560307346899,0.21946208500959866,0.5161857324466602,0.44418437505339325,0.6899818395239912,100.55376706123351,0.0001953601837158203
396,LogReg_auroc,ternary,20+LDA,0.5170664323092362,0.2334835795620725,0.5104594556820994,0.4565088130838756,0.6905542635615791,24.69056429862976,0.0035629749298095705
408,LinearSVC_f1_sig-calib,ternary,10+20+30+LDA,0.5698548217861417,0.175313239029194,0.5236980213418183,0.32776221194449784,0.6934676559223786,20.013459634780883,0.025083017349243165
409,LinearSVC_acc,ternary,10+LDA,0.5489325771736769,0.21947067563223838,0.5372682001975766,0.43624358983473066,0.6087318973963393,1.9057810306549072,0.001242828369140625
410,LinearSVC_iso-calib,ternary,10+LDA,0.5488888213813776,0.1894546104250249,0.5271264674455981,0.39685124646588005,0.6818524766696119,0.6198865413665772,0.04428920745849609
411,LinearSVC_f1,ternary,20+30+LDA,0.5484234993474042,0.21689199282954216,0.5341424273877937,0.424619703544186,0.6071971230092512,3.474673557281494,0.001977825164794922
412,LinearSVC_balacc,ternary,20+30+LDA,0.5484234993474042,0.21689199282954216,0.5341424273877937,0.424619703544186,0.6071971230092512,3.494801902770996,0.0013746261596679688
413,LinearSVC_f1,ternary,20+LDA,0.5483260660277501,0.21445095704596273,0.5332063818112972,0.4207589831715254,0.6061230862472501,1.9184645652770995,0.0011937141418457032
414,LinearSVC_balacc,ternary,20+LDA,0.5483260660277501,0.21445095704596273,0.5332063818112972,0.4207589831715254,0.6061230862472501,1.961936092376709,0.0012955188751220704
415,LinearSVC_balacc,ternary,10+20+LDA,0.5483175446968092,0.23522176842763348,0.5405313623536748,0.453547056526786,0.6162513644290026,3.1964293479919434,0.0007944583892822265
416,LinearSVC_f1,ternary,10+20+LDA,0.5483027232947045,0.23518666839253344,0.5405133957129387,0.4535137965387842,0.6162337675905967,3.1949017524719237,0.0011868476867675781
417,LinearSVC,ternary,10,0.5471473526487518,0.10249762068241612,0.48086052328226747,0.23427805900732182,0.5523295872306205,0.13573436737060546,0.0011928558349609375
418,LinearSVC_balacc_iso-calib,ternary,10+LDA,0.5471304919156148,0.18749660517508607,0.5257973939960972,0.396897956122692,0.6816381038245072,8.113135385513306,0.0591376781463623
419,LinearSVC_acc_iso-calib,ternary,10+LDA,0.5470814670696817,0.18677577418438182,0.5255385433186942,0.3959548309982668,0.6816051100209288,8.142635488510132,0.03995604515075683
420,LinearSVC_f1_iso-calib,ternary,10+LDA,0.5469455407678048,0.1871010293617002,0.5255715695049595,0.3965245390220309,0.6816281421687747,7.707462453842163,0.035888385772705075
421,LinearSVC_f1,ternary,10+LDA,0.5466204384453532,0.23159620327948938,0.5387516595453264,0.4514162318134072,0.6143829427909695,1.8866756916046143,0.0011896133422851563
422,LinearSVC_balacc,ternary,10+LDA,0.5466204384453532,0.23159620327948938,0.5387516595453264,0.4514162318134072,0.6143829427909695,1.9020663261413575,0.0010200977325439454
423,LinearSVC_f1,ternary,LDA,0.5460829806401264,0.22903356310369824,0.5374862970098793,0.4470857137907756,0.6128921672709197,5.120302772521972,0.0017950057983398438
424,LinearSVC_f1,ternary,30+LDA,0.5458431114402928,0.20075742324525522,0.5261356598975596,0.3952690082821018,0.599483809386149,1.9506017684936523,0.0017303466796875
425,LinearSVC_balacc,ternary,30+LDA,0.5458431114402928,0.20075742324525522,0.5261356598975596,0.3952690082821018,0.599483809386149,1.9621389865875245,0.0013433456420898437
426,LinearSVC_balacc,ternary,LDA,0.5456111683972036,0.22854116356397638,0.5371084843185882,0.44699227482187764,0.61263365985404,5.087173795700073,0.00232086181640625
427,LinearSVC_iso-calib,ternary,10+30,0.537109476088237,0.16524380532216618,0.511191034755813,0.35919380009090085,0.6654741521871516,1.1254260063171386,0.03890681266784668
428,LinearSVC_iso-calib,ternary,LOF-PCA,0.53710494071821,0.16329226739476305,0.5102510311253413,0.35538131739757617,0.6664532455997294,1.9560650825500487,0.038037776947021484
429,LinearSVC_iso-calib,ternary,10+20+30,0.5369134459704171,0.16432303379452637,0.5109123086120577,0.3588183709813821,0.6661055909381959,1.7574510097503662,0.038547611236572264
430,LinearSVC_acc,ternary,30+LDA,0.5490148914906856,0.1904172146896923,0.5253634865183752,0.3809023552197627,0.5947041622612498,1.9299733638763428,0.001447916030883789
431,LinearSVC_balacc,ternary,LDA+LOF-PCA,0.5492275905107356,0.23458746859405383,0.5406135131502213,0.4510075531747074,0.6158377316701736,5.3572934627532955,0.0016145706176757812
432,LinearSVC_balacc_sig-calib,ternary,10,0.5492960201731478,0.11909455965574636,0.4915056639727163,0.25773657416219053,0.6616341999546929,7.877663898468017,0.02522425651550293
433,LinearSVC_f1_sig-calib,ternary,10,0.5492960201731478,0.11909455965574636,0.4915056639727163,0.25773657416219053,0.6616348615599622,7.853410291671753,0.02417135238647461
434,LinearSVC,ternary,20,0.5512429912549057,0.10164495377527047,0.4802219201391186,0.2128692455708928,0.5521090437704952,0.13331999778747558,0.0011885643005371093
435,LinearSVC_acc_sig-calib,ternary,20,0.5510709128758212,0.11378414367482023,0.48813324260770763,0.2347951288396839,0.6675699606866724,7.756579637527466,0.02169804573059082
436,LinearSVC_f1_sig-calib,ternary,20,0.551043993723898,0.11372957038427475,0.4881033292027124,0.23477281166318234,0.6675692532170203,7.830020809173584,0.025463342666625977
437,LinearSVC_balacc_sig-calib,ternary,20,0.5510266386388581,0.11371445551123971,0.48809046272753714,0.23477047241104182,0.6675692149813962,7.859887933731079,0.022632122039794922
438,LinearSVC_acc,ternary,20+LDA,0.5510235612107944,0.20295332642191624,0.5319356671211727,0.40550828670448996,0.6007814156507293,1.9493418693542481,0.0011982440948486329
439,LinearSVC_acc,ternary,20+30+LDA,0.5509494707795012,0.2052019700457607,0.5326781969320693,0.4092203890359638,0.6017320578856571,3.465640640258789,0.0013846397399902345
440,LinearSVC_balacc_iso-calib,ternary,30+LDA,0.550894106946929,0.1806225346340254,0.5213197579885323,0.3598402897631797,0.6889894136181918,7.754538679122925,0.03768987655639648
441,LinearSVC_f1_iso-calib,ternary,30+LDA,0.550894106946929,0.1806225346340254,0.5213197579885323,0.3598402897631797,0.6889894136181918,7.85916690826416,0.04088196754455566
442,LinearSVC_balacc,ternary,10+30+LDA,0.5508152000751704,0.23714317483033978,0.5421790770561019,0.4526959191237151,0.6172046096378849,3.235869312286377,0.0011927127838134766
443,LinearSVC_f1,ternary,10+30+LDA,0.5508136169957946,0.2370583733687283,0.542141024109982,0.45253494298412605,0.6171695517643586,3.2155148506164553,0.0013847827911376953
444,LinearSVC_acc_iso-calib,ternary,10+30,0.5359012885158296,0.16378798129330563,0.5102848598725761,0.3588294778745095,0.6649917607814346,13.105163669586181,0.03935680389404297
445,LinearSVC,ternary,30,0.5508097098753255,0.09584433248836047,0.47675844281308566,0.19650755253811863,0.5494367465301679,0.1316427230834961,0.0011890411376953125
446,LinearSVC_balacc,ternary,10+20+30+LDA,0.5507547845313381,0.23726829266980723,0.5421802905592832,0.4530733573572254,0.617153102697686,4.839843273162842,0.0018146991729736327
447,LinearSVC_acc_iso-calib,ternary,30+LDA,0.550731071523778,0.1800258208467606,0.5210595072007451,0.35924912547163906,0.6888932070806735,8.19464931488037,0.041493463516235354
448,LinearSVC_acc,ternary,10+20+LDA,0.5505041443921116,0.22283333914790004,0.5388965216991617,0.4381045474181972,0.610474399561165,3.192582893371582,0.0014970779418945312
449,LinearSVC_sig-calib,ternary,10,0.5501227756545078,0.11981672474771214,0.4920019741613353,0.25659696260684123,0.6617101227232833,0.7670385837554932,0.01888127326965332
450,LinearSVC_balacc_sig-calib,ternary,30,0.5501060739086527,0.10592199149865418,0.48345934493086895,0.2149606707750157,0.6697999265674366,7.8723992824554445,0.021891403198242187
451,LinearSVC_f1_sig-calib,ternary,30,0.5501060739086527,0.10592199149865418,0.48345934493086895,0.2149606707750157,0.6697999265674366,7.87630033493042,0.023072147369384767
452,LinearSVC_acc_sig-calib,ternary,30,0.5501060739086527,0.10592199149865418,0.48345934493086895,0.2149606707750157,0.6697999083684772,7.8226560115814205,0.02362227439880371
453,LinearSVC_acc,ternary,LDA,0.550040295002065,0.22048284524290027,0.5378485867867454,0.4350844330358833,0.6090500969884418,5.719038724899292,0.001482248306274414
454,LinearSVC_f1,ternary,LDA+LOF-PCA,0.5496994027536584,0.2350798681337757,0.5409913258415124,0.45110099214360544,0.6160962390870534,5.348633670806885,0.0021275043487548827
455,LinearSVC_acc_sig-calib,ternary,10,0.5492960201731478,0.11909455965574636,0.4915056639727163,0.25773657416219053,0.6616353048418098,7.772623300552368,0.02461276054382324
456,LinearSVC_sig-calib,ternary,30,0.5507549896041987,0.10658557873883823,0.48413825672153665,0.21552119386491855,0.6699311523419738,0.7714186668395996,0.017090988159179688
457,LinearSVC_acc_iso-calib,ternary,20+LDA,0.5512773960659981,0.18685969073671976,0.5254814891434814,0.37999932779694046,0.6858733361698064,8.239936304092407,0.038616180419921875
458,LinearSVC_balacc_iso-calib,ternary,LOF-PCA,0.535800290806011,0.16184290026624884,0.5091520256382042,0.3542589418696048,0.6658547561556218,21.74227123260498,0.04215855598449707
459,LinearSVC_balacc_iso-calib,ternary,10+30,0.5357098422153067,0.16354469193341412,0.5101061933123973,0.35863339904469826,0.664948174533797,14.646236133575439,0.06183943748474121
460,LinearSVC_balacc,ternary,20+30,0.5293038906324197,0.17617878523977995,0.5107165249060783,0.37907365480861277,0.5879293795860201,3.5322208404541016,0.0012186527252197265
461,LinearSVC_f1,ternary,20,0.5292657429211843,0.17372105645423327,0.51007220670711,0.37636435443367944,0.5867867924074983,1.8516499042510985,0.000984334945678711
462,LinearSVC_acc,ternary,20,0.5292657429211843,0.17372105645423327,0.51007220670711,0.37636435443367944,0.5867867924074983,1.8635766983032227,0.0013457298278808593
463,LinearSVC_balacc,ternary,20,0.5292657429211843,0.17372105645423327,0.51007220670711,0.37636435443367944,0.5867867924074983,1.8869763374328614,0.0010687828063964844
464,LinearSVC_f1,ternary,10+20+30,0.5284808744772741,0.1950551568069591,0.517093906622797,0.41006729281499854,0.5969760312186468,4.867281341552735,0.001913166046142578
465,LinearSVC_acc,ternary,10+20+30,0.5283919460646462,0.1943885596692219,0.5167935835353488,0.40884811920377995,0.596659377798953,4.844298648834228,0.002180004119873047
466,LinearSVC_acc,ternary,30,0.5283242141526094,0.15955173619168456,0.5027335223916987,0.3437583552350375,0.5799127559222472,1.8915867805480957,0.0011536598205566407
467,LinearSVC_balacc,ternary,30,0.5283242141526094,0.15955173619168456,0.5027335223916987,0.3437583552350375,0.5799127559222472,1.8959948062896728,0.0013956069946289063
468,LinearSVC_f1,ternary,30,0.5283242141526094,0.15955173619168456,0.5027335223916987,0.3437583552350375,0.5799127559222472,1.9067458629608154,0.0011789798736572266
469,LinearSVC_acc,ternary,10+30,0.5279462824587469,0.19388539694163753,0.5165121756032047,0.4089495987792656,0.5965138787573562,3.1554598808288574,0.0021119117736816406
470,LinearSVC_balacc,ternary,10+20+30,0.5279001824859846,0.19443789427194247,0.5166308371851381,0.40993807800053583,0.5966567605807119,4.900336980819702,0.001627349853515625
471,LinearSVC_balacc,ternary,10+30,0.5276938127919333,0.1937372262026408,0.5163687450003557,0.4091189222769459,0.59643024600496,3.1517484188079834,0.0013850212097167968
472,LinearSVC_f1,ternary,10+30,0.5276922297125576,0.1936524247410293,0.5163306920542358,0.4089579461373568,0.5963951881314337,3.1500012397766115,0.0011960983276367188
473,LinearSVC_iso-calib,ternary,10,0.5263751115844307,0.1483340610977649,0.5017932857847816,0.35464884478979886,0.6558664185025807,0.5850376129150391,0.036636066436767575
474,LinearSVC_acc,ternary,10+20,0.524537047904784,0.19103511713852567,0.5144849054760471,0.41076674948880554,0.595133469180978,3.1475759506225587,0.0015801429748535157
475,LinearSVC_balacc,ternary,10+20,0.5244402659062356,0.190898579812011,0.514392626625676,0.4106784988412331,0.595062861763215,3.12834095954895,0.0020754337310791016
476,LinearSVC_f1,ternary,10+20,0.5244402659062356,0.190898579812011,0.514392626625676,0.4106784988412331,0.595062861763215,3.143911600112915,0.0016520500183105468
477,LinearSVC_f1_iso-calib,ternary,10,0.5240316531140328,0.14500856866641149,0.4998135539025207,0.3534932441973078,0.6555307474191729,7.526022624969483,0.040877151489257815
478,LinearSVC_acc_iso-calib,ternary,10,0.5240045439927588,0.1450146135469216,0.4998246737829007,0.35363886843903447,0.6555360183631281,7.840450811386108,0.04729299545288086
479,LinearSVC_balacc_iso-calib,ternary,10,0.5239942832302732,0.14496447510965307,0.4997868377883291,0.3534605802429821,0.6555290643519774,7.898630523681641,0.05064568519592285
480,LinearSVC_acc,ternary,10,0.5219131611369199,0.18693881540324217,0.5124730915421231,0.41086434960060664,0.5929863647355355,1.8656580924987793,0.001221466064453125
481,LinearSVC_f1,ternary,20+30,0.5293038906324197,0.17617878523977995,0.5107165249060783,0.37907365480861277,0.5879293795860201,3.4873230934143065,0.001600360870361328
482,LinearSVC_acc,ternary,20+30,0.5294732591298791,0.17634770748516357,0.5108480103471145,0.37911937064941925,0.5880172823377542,3.462166404724121,0.001585674285888672
483,LinearSVC_balacc,ternary,LOF-PCA,0.5297522681452398,0.1939462232911367,0.5172225312083659,0.40677871736841054,0.5964616074461111,5.251654767990113,0.001200103759765625
484,LinearSVC_acc,ternary,LOF-PCA,0.5302240803881626,0.19443862283085855,0.517600343899657,0.4068721563373085,0.5967201148629909,5.217987155914306,0.001984691619873047
485,LinearSVC_balacc_iso-calib,ternary,10+20+30,0.5356702264084208,0.1627765277642816,0.5098691964207405,0.357668653418625,0.6656138047337398,18.901891660690307,0.04351587295532226
486,LinearSVC_acc_iso-calib,ternary,LOF-PCA,0.5354935513734576,0.16155685888459295,0.5088762448316715,0.3540674546108286,0.6659884428072766,21.16087703704834,0.04390187263488769
487,LinearSVC_acc_iso-calib,ternary,10+20+30,0.5354712978082709,0.16304230109550116,0.5097954428369444,0.35815708674333613,0.6658035501611922,19.886942005157472,0.042731857299804686
488,LinearSVC_f1_iso-calib,ternary,LOF-PCA,0.5352942219440455,0.16116685511633894,0.5086502052090991,0.35374250478736247,0.6659654196571847,20.438197708129884,0.0424893856048584
489,LinearSVC_f1_iso-calib,ternary,10+20+30,0.5352276948987011,0.1626219206433396,0.5095339203213853,0.35764250349894156,0.6657627503698159,19.621014976501463,0.04272308349609375
490,LinearSVC_iso-calib,ternary,20+30,0.5344847777453507,0.15020890896912947,0.5026864514264064,0.3316441209677609,0.6632056233050567,1.246506643295288,0.039147567749023435
491,LinearSVC_iso-calib,ternary,10+20,0.5339588532846451,0.16262173250450024,0.5095212953322035,0.36182482447039754,0.6628930653047955,1.0994032382965089,0.03739461898803711
492,LinearSVC_balacc_iso-calib,ternary,20+30,0.5337886279970881,0.14922743666162455,0.5023711380399356,0.33271988029148014,0.6623782664380837,13.59670262336731,0.04112186431884766
493,LinearSVC_f1_iso-calib,ternary,20+30,0.5336271748965075,0.14901556527312362,0.5022480954015323,0.33263077437355293,0.6625447745508943,13.820826482772826,0.05022835731506348
494,LinearSVC_acc_iso-calib,ternary,20+30,0.5333956019642146,0.1487310746975177,0.5020053882653429,0.3320298821927318,0.6628680413510966,14.2284725189209,0.040421676635742185
